text,category,option_a,option_b,option_c,option_d,correct_option,rationale
A community health nurse is planning activities to reduce the incidence of hypertension in a community. Which intervention is most appropriate?,community_health_nursing,Provide dialysis services,Conduct blood pressure screening and health education,Perform heart surgery,Dispense antibiotics,b,Screening and health education promote early detection and prevention of hypertension.
A nurse visits a family with a newborn baby. Which action best promotes disease prevention?,community_health_nursing,Recommend delaying immunizations,Educate the parents about the childhood immunization schedule,Advise the family to avoid clinic visits,Encourage herbal remedies,b,Educating parents about routine immunization helps prevent vaccine-preventable diseases.
A community experiences an increase in malaria cases during the rainy season. Which health education message is most appropriate?,community_health_nursing,Drink more milk,Sleep under insecticide-treated mosquito nets,Avoid eating rice,Take antibiotics weekly,b,Using insecticide-treated mosquito nets is an effective method of preventing malaria transmission.
A nurse identifies several children in a village with signs of malnutrition. What should be the nurse's priority action?,community_health_nursing,Recommend cosmetic supplements,Provide nutrition education and growth monitoring,Encourage fasting,Refer all children for surgery,b,Nutrition education and regular growth monitoring help prevent and manage childhood malnutrition.
During a home visit the nurse notices uncovered refuse around a house. Which health problem is most likely to result?,community_health_nursing,Improved sanitation,Increased risk of communicable diseases,Lower mosquito population,Better water quality,b,Poor refuse disposal promotes breeding of disease vectors and increases infection risk.
A nurse is conducting health education on proper handwashing. Which disease is most effectively prevented through this practice?,community_health_nursing,Hypertension,Diarrheal diseases,Diabetes mellitus,Osteoarthritis,b,Proper hand hygiene reduces the transmission of organisms that cause diarrheal diseases.
A pregnant woman attends her first antenatal clinic. Which intervention best promotes maternal and fetal health?,community_health_nursing,Discourage antenatal visits,Encourage regular antenatal care attendance,Recommend skipping iron supplements,Advise complete bed rest throughout pregnancy,b,Regular antenatal care allows early detection and management of pregnancy-related complications.
A community health nurse discovers several children have incomplete immunization records. What is the best nursing action?,community_health_nursing,Ignore the findings,Arrange catch-up immunization sessions,Advise parents to wait until adulthood,Recommend antibiotics instead,b,Catch-up immunization protects children who missed scheduled vaccines.
A family obtains drinking water from an unprotected stream. Which advice should the nurse give?,community_health_nursing,Drink the water without treatment,Boil the water before drinking,Add sugar before drinking,Store water in open containers,b,Boiling water destroys many disease-causing microorganisms and makes it safer to drink.
A nurse is investigating an outbreak of food poisoning in a community. Which action should be performed first?,community_health_nursing,Close all restaurants permanently,Identify the source of the outbreak,Begin mass antibiotic therapy,Advise everyone to fast,b,Identifying the source helps control the outbreak and prevent additional cases.
A school nurse teaches students about oral hygiene. What is the primary purpose of this education?,community_health_nursing,Prevent dental caries,Improve eyesight,Prevent fractures,Increase appetite,a,Good oral hygiene helps prevent dental caries and gum disease.
A community health nurse visits an elderly client living alone. Which assessment should receive priority?,community_health_nursing,Favorite television program,Risk of falls and home safety,Preferred clothing color,Hobby interests,b,Older adults are at increased risk of falls, making home safety assessment essential.
A nurse is planning a health promotion campaign on smoking cessation. What is the primary goal?,community_health_nursing,Increase cigarette sales,Reduce the incidence of smoking-related diseases,Promote tobacco farming,Encourage occasional smoking,b,Smoking cessation reduces the risk of cardiovascular disease, cancer, and chronic lung disease.
A community reports an increase in cholera cases after flooding. Which intervention is most effective?,community_health_nursing,Promote safe water and proper sanitation,Increase sugar intake,Encourage outdoor gatherings,Reduce handwashing,b,Safe water and sanitation interrupt the transmission of cholera.
A mother asks why exclusive breastfeeding is recommended for the first six months of life. What is the best response?,community_health_nursing,It prevents all childhood illnesses,It provides optimal nutrition and immune protection,It eliminates the need for immunization,It increases tooth eruption,b,Exclusive breastfeeding provides complete nutrition and antibodies that protect infants from infections.
A nurse observes stagnant water around several homes. Which disease should the nurse be most concerned about?,community_health_nursing,Malaria,Diabetes,Peptic ulcer disease,Epilepsy,a,Stagnant water provides breeding sites for mosquitoes that transmit malaria.
A community health nurse is evaluating a vaccination campaign. Which outcome indicates success?,community_health_nursing,More hospital admissions,Higher immunization coverage among children,Increased antibiotic use,Fewer antenatal visits,b,High immunization coverage reduces the spread of vaccine-preventable diseases.
A client with pulmonary tuberculosis is receiving treatment at home. Which instruction is most appropriate?,community_health_nursing,Stop medication when symptoms improve,Complete the full course of treatment,Avoid eating fruits,Sleep outdoors every night,b,Completing the full course of tuberculosis treatment prevents relapse and drug resistance.
A nurse conducts a community screening program for diabetes. What is the primary purpose of screening?,community_health_nursing,Treat all clients immediately,Detect disease early for timely intervention,Replace hospital care,Provide surgical treatment,b,Screening identifies individuals with disease or those at risk before complications develop.
A community health nurse encourages residents to participate in regular physical activity. Which health outcome is expected?,community_health_nursing,Increased risk of obesity,Reduced risk of chronic diseases,Higher infection rates,Reduced bone strength,b,Regular physical activity lowers the risk of obesity, hypertension, diabetes, and cardiovascular disease.
