text,category,option_a,option_b,option_c,option_d,correct_option,rationale
A client with heart failure reports difficulty breathing while lying flat. What should the nurse do first?,medical_surgical_nursing,Encourage the client to drink water,Place the client in high Fowler's position,Prepare the client for discharge,Ask the client to walk,b,Positioning the client upright improves lung expansion and reduces venous return to relieve dyspnea.
A client with type 2 diabetes becomes sweaty and confused before lunch. What is the nurse's priority action?,medical_surgical_nursing,Administer insulin,Check the blood glucose level,Encourage exercise,Restrict fluids,b,The symptoms suggest hypoglycemia and the blood glucose level should be checked immediately before further treatment.
A postoperative client suddenly develops shortness of breath and chest pain. Which action should the nurse take first?,medical_surgical_nursing,Assist the client to ambulate,Notify the healthcare provider immediately,Offer oral fluids,Remove the surgical dressing,b,Sudden chest pain and dyspnea may indicate pulmonary embolism and require immediate medical attention.
A client with chronic kidney disease has a potassium level of 6.2 mEq/L. Which assessment finding requires immediate intervention?,medical_surgical_nursing,Dry skin,Irregular heartbeat,Poor appetite,Mild ankle edema,b,Hyperkalemia can cause life-threatening cardiac dysrhythmias that require urgent treatment.
A client with pneumonia has thick secretions and difficulty coughing them out. Which nursing intervention is most appropriate?,medical_surgical_nursing,Limit fluid intake,Encourage increased fluid intake,Keep the client on bed rest all day,Withhold coughing exercises,b,Adequate hydration helps thin respiratory secretions and makes them easier to expectorate.
A client receiving a blood transfusion develops chills and fever after 15 minutes. What should the nurse do first?,medical_surgical_nursing,Slow the transfusion rate,Stop the transfusion immediately,Administer acetaminophen,Continue monitoring only,b,Stopping the transfusion is the priority when a transfusion reaction is suspected.
A client with chronic obstructive pulmonary disease is receiving oxygen therapy. Which finding indicates the treatment is effective?,medical_surgical_nursing,Respiratory rate increases to 34 breaths per minute,Oxygen saturation improves to 94 percent,Blood pressure decreases significantly,The client becomes drowsy,b,Improved oxygen saturation indicates better oxygenation and effectiveness of therapy.
A client with a fractured leg reports severe pain despite receiving prescribed analgesics. What should the nurse assess first?,medical_surgical_nursing,The client's favorite television program,Neurovascular status of the affected limb,The client's meal preference,Family visitation schedule,b,Severe uncontrolled pain may indicate impaired circulation or compartment syndrome requiring prompt assessment.
A client with liver cirrhosis develops increasing abdominal swelling. Which nursing intervention is appropriate?,medical_surgical_nursing,Encourage high sodium foods,Measure abdominal girth daily,Restrict protein completely,Increase oral fluids without restriction,b,Daily abdominal measurements help monitor ascites progression and response to treatment.
A client with asthma suddenly develops wheezing and difficulty breathing after exposure to dust. Which medication should the nurse expect to administer first?,medical_surgical_nursing,Long-acting corticosteroid,Short-acting bronchodilator,Antibiotic,Diuretic,b,A short-acting bronchodilator rapidly relieves acute bronchospasm during an asthma attack.
A client recovering from abdominal surgery has absent bowel sounds. Which nursing action is most appropriate?,medical_surgical_nursing,Provide a regular diet immediately,Continue to monitor bowel function,Administer a laxative without an order,Encourage carbonated drinks,b,Absent bowel sounds are common immediately after surgery and should be monitored until bowel activity returns.
A client with hypertension asks why blood pressure medication should be taken daily even when feeling well. What is the best response?,medical_surgical_nursing,The medication cures hypertension permanently,The medication helps control blood pressure and prevent complications,The medication is only needed for headaches,The medication prevents weight gain,b,Antihypertensive medications control blood pressure and reduce the risk of stroke, heart failure, and kidney damage.
A client with deep vein thrombosis is prescribed bed rest initially. What is the primary reason for this intervention?,medical_surgical_nursing,Prevent constipation,Reduce the risk of clot dislodgement,Improve appetite,Decrease urine output,b,Limiting movement initially helps reduce the risk of embolization before anticoagulation becomes effective.
A client with a nasogastric tube complains of nausea. What should the nurse assess first?,medical_surgical_nursing,The client's room temperature,Patency and placement of the tube,The client's hairstyle,Family concerns,b,Nausea may occur if the tube is blocked or displaced, making assessment of tube function the priority.
A client with anemia reports feeling tired while walking to the bathroom. Which nursing intervention is appropriate?,medical_surgical_nursing,Encourage vigorous exercise,Assist with activities and allow rest periods,Restrict fluid intake,Increase room temperature,b,Clients with anemia fatigue easily because of reduced oxygen-carrying capacity and benefit from activity pacing.
A client with gastroenteritis has frequent diarrhea. Which assessment finding is most important to report?,medical_surgical_nursing,Dry mucous membranes and low blood pressure,Bowel sounds are present,Client prefers cold drinks,Mild hunger,a,Dry mucous membranes and hypotension indicate dehydration requiring prompt intervention.
A client with a chest tube accidentally disconnects the drainage tubing. What should the nurse do first?,medical_surgical_nursing,Clamp the chest tube for several hours,Place the tube end in sterile water,Remove the chest tube completely,Turn the client onto the affected side,b,Placing the tube end in sterile water helps maintain a water seal temporarily and reduces air entry into the pleural space.
A client with heart failure is prescribed a low-sodium diet. Which food choice by the client indicates understanding?,medical_surgical_nursing,Canned soup with crackers,Grilled chicken with fresh vegetables,Processed deli meat,Salted peanuts,b,Fresh foods are generally much lower in sodium than processed or canned foods.
A client with peptic ulcer disease suddenly reports severe abdominal pain and a rigid abdomen. What complication should the nurse suspect?,medical_surgical_nursing,Constipation,Gastric perforation,Mild indigestion,Appendicitis,b,Sudden severe pain with abdominal rigidity suggests perforation, which is a surgical emergency.
A client with peripheral arterial disease reports leg pain while walking that stops with rest. What should the nurse recognize this symptom as?,medical_surgical_nursing,Deep vein thrombosis,Intermittent claudication,Muscle strain,Osteoarthritis,b,Intermittent claudication is a classic symptom of peripheral arterial disease caused by inadequate blood flow during activity.

