text,category,option_a,option_b,option_c,option_d,correct_option,rationale
A nurse reminds a client to wash hands before eating to prevent disease transmission. Which mode of transmission is primarily interrupted?,microbiology_and_parasitology,Airborne transmission,Direct contact transmission,Vector transmission,Vertical transmission,b,Hand hygiene primarily interrupts direct contact transmission and is one of the most effective infection prevention measures.
A client with pulmonary tuberculosis is admitted to the hospital. Which precaution should the nurse implement?,microbiology_and_parasitology,Standard precautions only,Airborne precautions,Droplet precautions,Contact precautions,b,Tuberculosis is spread through airborne droplet nuclei and requires airborne precautions.
A child develops malaria after multiple mosquito bites. Which type of disease transmission occurred?,microbiology_and_parasitology,Direct contact,Vector-borne transmission,Fomite transmission,Droplet transmission,b,Malaria is transmitted by the bite of an infected female Anopheles mosquito which acts as a vector.
A nurse educates a community about completing prescribed antibiotics. Why is this important?,microbiology_and_parasitology,It prevents dehydration,It helps prevent antibiotic resistance,It increases appetite,It reduces blood pressure,b,Completing the full antibiotic course helps eliminate bacteria and reduces the development of resistant organisms.
A nurse is caring for a client with influenza. Which route most commonly spreads this infection?,microbiology_and_parasitology,Droplet transmission,Vector transmission,Blood transmission,Foodborne transmission,a,Influenza is primarily transmitted through respiratory droplets produced during coughing or sneezing.
A client is diagnosed with athlete's foot. Which type of microorganism causes this condition?,microbiology_and_parasitology,Virus,Bacterium,Fungus,Protozoan,c,Athlete's foot is a superficial fungal infection caused by dermatophytes.
A nurse explains that HIV attacks specific immune cells. Which cells are primarily affected?,microbiology_and_parasitology,Red blood cells,Platelets,CD4 T lymphocytes,Neutrophils,c,HIV primarily infects and destroys CD4 T lymphocytes leading to immune deficiency.
A client develops diarrhea after drinking contaminated water while traveling. Which organism commonly causes amoebic dysentery?,microbiology_and_parasitology,Ascaris lumbricoides,Entamoeba histolytica,Candida albicans,Staphylococcus aureus,b,Entamoeba histolytica is a protozoan parasite transmitted through contaminated food or water.
A nurse teaches a client about vaccines. What is the primary purpose of vaccination?,microbiology_and_parasitology,Treat existing infection,Stimulate immunity before exposure,Destroy red blood cells,Increase body temperature,b,Vaccines stimulate the immune system to develop protection before exposure to disease.
A client complains of intense itching at night and is diagnosed with scabies. What is the causative organism?,microbiology_and_parasitology,Fungus,Mite,Virus,Bacterium,b,Scabies is caused by the mite Sarcoptes scabiei which burrows into the skin.
A client has ringworm on the arm. Which statement by the client indicates understanding?,microbiology_and_parasitology,It is caused by a worm,It is a fungal infection,It is caused by a virus,It is caused by poor circulation,b,Ringworm is a fungal infection despite its misleading name.
A client is diagnosed with ascariasis after eating contaminated vegetables. Which type of parasite causes this disease?,microbiology_and_parasitology,Protozoan,Helminth,Virus,Fungus,b,Ascaris lumbricoides is a helminth or roundworm transmitted by ingestion of infective eggs.
A nurse removes gloves after caring for an infected client. What should the nurse do next?,microbiology_and_parasitology,Touch the face,Wash hands immediately,Leave the gloves on,Handle clean equipment,b,Hand hygiene is required immediately after glove removal because gloves are not a substitute for handwashing.
A hospitalized client develops oral thrush after prolonged antibiotic therapy. Which organism most likely caused the infection?,microbiology_and_parasitology,Candida albicans,Escherichia coli,Plasmodium falciparum,Influenza virus,a,Candida albicans is an opportunistic fungus that commonly causes oral thrush after antibiotic use.
A client with typhoid fever is instructed to wash hands after using the toilet. What is the main reason?,microbiology_and_parasitology,Prevent airborne spread,Prevent fecal-oral transmission,Prevent vector transmission,Prevent bloodborne transmission,b,Typhoid fever spreads through the fecal-oral route making hand hygiene essential.
A client develops fever every 48 hours after returning from a malaria-endemic area. Which parasite is the likely cause?,microbiology_and_parasitology,Plasmodium species,Taenia solium,Candida albicans,Mycobacterium tuberculosis,a,Malaria is caused by Plasmodium parasites transmitted by infected mosquitoes.
A nurse explains why sterilization is required before surgery. What is the primary purpose?,microbiology_and_parasitology,Reduce odor,Destroy all microorganisms including spores,Improve instrument appearance,Reduce instrument weight,b,Sterilization destroys all forms of microbial life including bacterial spores.
A client asks why viral infections are not usually treated with antibiotics. What is the best response?,microbiology_and_parasitology,Viruses are too large,Antibiotics are ineffective against viruses,Viruses only affect children,Antibiotics increase viral growth,b,Antibiotics target bacteria and do not kill viruses.
A food handler is taught proper food storage to prevent bacterial growth. Which practice is most effective?,microbiology_and_parasitology,Leave cooked food at room temperature,Refrigerate perishable foods promptly,Store raw meat above cooked food,Reuse unwashed utensils,b,Prompt refrigeration slows bacterial growth and reduces the risk of foodborne illness.
