text,category,option_a,option_b,option_c,option_d,correct_option,rationale
A student accidentally touches a hot stove and quickly pulls the hand away before feeling pain. Which part of the nervous system is primarily responsible for this immediate response?,anatomy_and_physiology,Cerebrum,Cerebellum,Spinal cord,Hypothalamus,c,The spinal cord mediates reflex actions before the brain consciously processes the pain.
A client has difficulty breathing because of damage to the diaphragm. Which nerve is most likely affected?,anatomy_and_physiology,Facial nerve,Phrenic nerve,Vagus nerve,Optic nerve,b,The phrenic nerve stimulates the diaphragm which is the primary muscle of respiration.
A nurse notices a client's heart rate increases during exercise. Which physiological response explains this change?,anatomy_and_physiology,Reduced oxygen demand,Increased sympathetic nervous system activity,Decreased cardiac output,Reduced blood flow to muscles,b,Exercise activates the sympathetic nervous system causing an increased heart rate to meet oxygen demands.
A client is dehydrated after prolonged vomiting. Which organ responds by conserving water through urine concentration?,anatomy_and_physiology,Liver,Heart,Kidneys,Pancreas,c,The kidneys regulate fluid balance by concentrating urine to conserve water.
A patient experiences difficulty maintaining balance after a head injury. Which part of the brain is most likely affected?,anatomy_and_physiology,Cerebellum,Medulla oblongata,Frontal lobe,Hypothalamus,a,The cerebellum coordinates balance posture and voluntary movement.
A client eats a meal rich in carbohydrates. Which hormone is released to lower the blood glucose level?,anatomy_and_physiology,Glucagon,Insulin,Cortisol,Thyroxine,b,Insulin promotes glucose uptake by cells and lowers blood glucose levels.
A patient with anemia has reduced oxygen delivery to tissues. Which blood component is decreased?,anatomy_and_physiology,Platelets,Red blood cells,Plasma,White blood cells,b,Red blood cells contain hemoglobin which transports oxygen throughout the body.
A nurse explains that digestion begins in the mouth. Which substance starts the breakdown of starches?,anatomy_and_physiology,Hydrochloric acid,Salivary amylase,Pepsin,Bile,b,Salivary amylase begins carbohydrate digestion in the mouth.
A client has a fracture involving the femur. Which body system is primarily affected?,anatomy_and_physiology,Digestive system,Skeletal system,Endocrine system,Respiratory system,b,The femur is the longest bone in the skeletal system.
A patient is diagnosed with hypothyroidism. Which gland is functioning below normal?,anatomy_and_physiology,Pituitary gland,Adrenal gland,Thyroid gland,Parathyroid gland,c,The thyroid gland produces hormones that regulate metabolism.
A client has swelling after twisting an ankle. Which blood cells help initiate the inflammatory response?,anatomy_and_physiology,Red blood cells,White blood cells,Nerve cells,Platelets,b,White blood cells protect the body by participating in inflammation and immune responses.
A nurse explains that oxygen enters the bloodstream in the lungs. In which structure does this gas exchange occur?,anatomy_and_physiology,Bronchi,Alveoli,Trachea,Larynx,b,The alveoli are tiny air sacs where oxygen and carbon dioxide are exchanged.
A patient has liver disease. Which major function of the liver may be impaired?,anatomy_and_physiology,Production of insulin,Detoxification of harmful substances,Filtration of urine,Storage of oxygen,b,The liver detoxifies harmful substances and performs many metabolic functions.
A client with severe bleeding has low blood pressure. Which physiological mechanism helps restore blood pressure first?,anatomy_and_physiology,Decreased heart rate,Increased heart rate,Reduced breathing rate,Increased saliva production,b,The body increases heart rate through sympathetic stimulation to maintain cardiac output.
A patient is unable to extend the knee after an injury. Which muscle group is most likely affected?,anatomy_and_physiology,Hamstrings,Quadriceps,Gastrocnemius,Biceps brachii,b,The quadriceps muscle group is responsible for knee extension.
A nurse explains why calcium is important. Which body system depends on calcium for proper muscle contraction?,anatomy_and_physiology,Urinary system,Muscular system,Digestive system,Integumentary system,b,Calcium is essential for normal muscle contraction and nerve transmission.
A client has damage to the kidneys. Which waste product may accumulate in the blood?,anatomy_and_physiology,Bile,Urea,Insulin,Hemoglobin,b,The kidneys remove urea from the bloodstream through urine formation.
A patient has difficulty seeing in dim light. Which part of the eye is primarily responsible for vision in low light?,anatomy_and_physiology,Cones,Rods,Cornea,Iris,b,Rod cells are highly sensitive to low levels of light and provide night vision.
A client with constipation is encouraged to increase dietary fiber. In which organ is most water absorbed from digested food?,anatomy_and_physiology,Stomach,Small intestine,Large intestine,Esophagus,c,The large intestine absorbs water from undigested food and forms feces.
A patient complains of rapid fatigue during physical activity. Which organ supplies oxygenated blood to the muscles to support activity?,anatomy_and_physiology,Liver,Heart,Spleen,Pancreas,b,The heart pumps oxygen-rich blood throughout the body to meet the metabolic needs of muscles during activity.
