text,category,option_a,option_b,option_c,option_d,correct_option,rationale
A nurse is preparing to administer medications to a client. Which action should the nurse perform first?,fundamentals_of_nursing,Verify the client's identity using two identifiers,Explain the medication's side effects,Administer the medication,Document the administration,a,Verifying the client's identity using at least two identifiers is the first step in safe medication administration and helps prevent medication errors.
Which infection prevention measure is considered the single most effective way to reduce the spread of healthcare-associated infections?,fundamentals_of_nursing,Wearing sterile gloves,Using personal protective equipment,Performing proper hand hygiene,Isolating all patients,c,Hand hygiene is the most effective and evidence-based method for preventing the transmission of infectious organisms.
A nurse delegates the task of obtaining vital signs for a stable client to an unlicensed assistive personnel (UAP). Which responsibility remains with the nurse?,fundamentals_of_nursing,Measuring blood pressure,Recording the vital signs,Interpreting the vital sign results,Transporting the client,c,The nurse is responsible for assessing and interpreting client data, even when the task of obtaining vital signs is delegated.
Which client should the nurse assess first?,fundamentals_of_nursing,A client reporting chest pain and shortness of breath,A client requesting assistance to the bathroom,A client awaiting discharge instructions,A client requesting a meal tray,a,According to priority-setting principles (ABCs), chest pain and shortness of breath may indicate a life-threatening condition requiring immediate assessment.
A nurse is caring for a client at risk for falls. Which intervention is most appropriate?,fundamentals_of_nursing,Keep the bed in the highest position,Apply wrist restraints routinely,Place frequently used items within reach,Encourage the client to walk without assistance,c,Keeping essential items within reach promotes safety and reduces the client's need to overreach or ambulate without assistance.
Which finding indicates that a client's pain management plan has been effective?,fundamentals_of_nursing,The client reports pain has decreased from 8/10 to 2/10,The client appears sleepy,The client refuses medication,The client's family states the client looks comfortable,a,The client's self-report is the most reliable indicator of pain and is the best measure of the effectiveness of pain management.
A nurse is using therapeutic communication with a client who has received a new diagnosis. Which response by the nurse is most appropriate?,fundamentals_of_nursing,Tell me how you're feeling about your diagnosis.,Everything will be fine.,You shouldn't worry so much.,I know exactly how you feel.,a,Open-ended questions encourage clients to express their feelings and promote therapeutic communication.
Which action by the nurse best demonstrates respect for client confidentiality?,fundamentals_of_nursing,Discussing the client's condition in the hospital elevator,Sharing client information only with authorized healthcare team members,Leaving the client's chart open at the nurses' station,Giving client information to a family member without permission,b,Confidential information should only be shared with healthcare professionals directly involved in the client's care and who have a legitimate need to know.
A nurse is positioning a client in bed to reduce the risk of pressure injuries. Which intervention is appropriate?,fundamentals_of_nursing,Reposition the client at least every 2 hours,Massage reddened bony prominences,Keep the head of the bed elevated above 60 degrees at all times,Use donut-shaped cushions under the sacrum,a,Regular repositioning at least every 2 hours helps relieve pressure and reduces the risk of pressure injury development.
A nurse obtains an oral temperature of 38.5°C (101.3°F) from a client. Which nursing action is appropriate first?,fundamentals_of_nursing,Assess the client for signs and symptoms of infection,Administer antibiotics immediately,Document the finding and take no further action,Apply ice packs without further assessment,a,Assessment is the first step of the nursing process. The nurse should assess the client for possible causes of the fever before implementing additional interventions.
